Project Name,Version Number
it.unipi.di.acube:bat-framework,1
de.vandermeer:execs,0.0.3
org.apache.storm:flux,0.10.0
com.github.jasoma:stgradle,1.0.0
fr.faylixe:googlecodejam-client-osgi,1.1.2
tk.devrt:openrtm-aist-java,1.1.0
net.isucon.bench:isucon-bench,0.1.0
org.cassandraunit:cassandra-unit-shaded,2.1.9.2
org.hawkular.agent:wildfly-module-installer,0.11.1.Final
com.digitalpebble.stormcrawler:storm-crawler-core,1.1
com.linkedin.gobblin:gobblin-example,0.10.0
com.github.ptgoetz:flux,0.1.3
com.github.tntim96:fakesmtp,2
org.gridgain:gridgain-streaming,6.0.2
com.denimgroup.threadfix:threadfix-cli,2.2.0
uk.co.real-logic:aeron-tools,0.1
org.seedstack.seed:seed-cli,2.1.0
org.docbook:docbook-xslt2,2.0.13
commons-jelly:commons-jelly-tags-sql,20040902.07
org.linkeddatafragments:ldfserver,0.1.0
io.fabric8.elasticsearch:openshift-elasticsearch-plugin,5.6.9.1
cn.wanghaomiao:SeimiCrawler,1.3.0
com.moz.fiji.platforms:test-platform,0.1.0
com.moz.fiji.deps:spark-mllib,0.1.0
com.moz.fiji.hadoop:hadoop-configurator,0.1.6
com.moz.fiji.schema:fiji-schema-extras,0.1.13
com.moz.fiji.schema:fiji-schema-cassandra,0.1.8
com.moz.fiji.rest:fiji-rest-standard-plugin,0.1.6
com.moz.fiji.examples.phonebook:fiji-phonebook,0.1.3
com.moz.fiji.mapreduce:platform-api,0.1.13
com.moz.fiji.schema:fiji-schema-shell-lib,0.1.13
com.moz.fiji.deps:spark-core,0.1.0
com.moz.fiji.schema:schema-platform-api,0.1.13
com.moz.fiji.spark:fiji-spark-test,0.1.0
com.moz.fiji.spark:fiji-spark,0.1.6
org.dynamide:RestReplay,1.0.14
com.github.fancyerii:sc,1
org.apereo.cas:cas-server-support-ldap,5.2.0
com.google.api.grpc:grpc-google-common-protos,0.1.12
com.google.api.grpc:grpc-google-cloud-speech-v1beta1,0.1.12
com.google.api.grpc:grpc-google-cloud-logging-v2,0.1.12
com.google.api.grpc:grpc-google-cloud-error-reporting-v1beta1,0.1.12
com.google.api.grpc:grpc-google-cloud-vision-v1,0.1.12
com.google.api.grpc:grpc-google-cloud-trace-v1,0.1.12
com.google.api.grpc:grpc-google-cloud-pubsub-v1,0.1.12
com.google.api.grpc:grpc-google-cloud-monitoring-v3,0.1.12
com.hurence.logisland:logisland-querymatcher-plugin,0.10.2
com.floragunn:search-guard-2,5.0.0-alpha4-2a
com.floragunn:search-guard-5,5.0.0-10
com.linkedin.gobblin:gobblin-runtime,0.0.0.mavenTest1
com.linkedin.gobblin:gobblin-utility,0.0.0.mavenTest1
io.swagger:swagger-codegen,2.2.0
com.netflix.eureka:eureka2-server,2.0.0-rc.1
de.hhu.stups:prob2-ui-servlets,2.0.2
com.stateforge.statebuilder:statebuilder-common,3
org.tachyonproject:tachyon-examples,0.8.0
org.apache.flink:flink-shaded-hadoop2,0.10.1
cc.redpen:redpen-core,1.4.1
org.graxxia:graxxia,0.9
org.apache.nifi:nifi-toolkit-tls,1.0.0-BETA
com.github.workerframework:worker-store-cs,1.2.0-113
se.liu.imt.mi.snomedct:SnomedCTParser,0.1
org.semanticweb.yars:nxparser,1.2.10
org.apereo.cas:cas-server-core-authentication,5.2.0
com.hurence.logisland:logisland-elasticsearch-plugin,0.10.1
org.anc.json:validator,1.1.1
com.google.api.grpc:grpc-google-iam-v1,0.1.12
com.aliyun.odps:odps-mapred-bridge,0.24.0-public
com.qspin.qtaste.plugin:sikuli,3.0.0
org.alluxio:alluxio-core-server,1.0.0
org.alluxio:alluxio-shell,1.0.0
org.apache.tajo:tajo-cli,0.10.0
com.github.automately:automately-java,1.0.1
gr.iti.mklab:mklab-multimedia-indexing,0.1
com.amitapi:amit-compiler,1.0.0
com.conveyal:gtfs-lib,2.1.0
cn.enilu.tools:nutzwk-code-generator,1
org.visualdataweb.vowl.owl2vowl:OWL2VOWL,0.2.0
io.takari:xar,0.8.6
org.seedstack.seed:seed-shell,2.1.0
org.wildfly.security:wildfly-elytron-tool,1.0.0.Alpha2
org.alluxio:alluxio-examples,1.0.0
com.sumologic.shellbase:shellbase-core,1.0.0
cn.mapway:mapway-database,0.0.1
com.alibaba.jstorm:jstorm-core,2.1.0
com.yahoo.gondola:core,0.2.7
es.tid.netphony:pce,1.3.0
net.bican:jwordpress,0.6.1
org.opensky-network:libadsb,1.1
org.aksw.rdfunit:rdfunit-validate,0.7.18
org.leibnizcenter:rechtspraak,2.0.3
com.github.mauricioaniche:springlint,0.3
net.rapture:SelfPluginInstallerLib,3.0.0
com.baulsupp:oksocial,1.0.24
io.rhiot:camel-pi4j,0.1.1
com.teradata.tempto:tempto-runner,1.0.37
com.weaverplatform:sdk-java,3.2.0
com.franz:agraph-java-client,1.0.0
io.github.htools:htools,0.26
com.sikulix:sikulixapi,1.1.0
com.opensearchserver:oss-utils,1.0.0
com.github.sunlin901203:sunny,0.0.1
net.rapture:PluginInstallerLib,3.0.0
net.rapture:RaptureCommon,3.0.0
